group,feature,method,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,HW,C5,C6,516,519,0.233735,0.281431,1.241717,1.319524,-0.037227,0.985149
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,all,C1,C5,1553,1549,0.042300,0.069222,1.106352,1.139739,-0.023970,0.990438
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,all,C1,C6,1553,1549,0.042300,0.091902,1.106352,1.116292,-0.044632,0.982196
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,all,C5,C6,1549,1549,0.069222,0.091902,1.139739,1.116292,-0.020105,0.991980
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,SA,C1,C5,516,519,0.196956,0.407775,1.201659,1.126623,-0.181000,0.927890
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,SA,C1,C6,516,518,0.196956,0.321772,1.201659,1.142532,-0.106456,0.957550
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,SA,C5,C6,519,518,0.407775,0.321772,1.126623,1.142532,0.075800,0.969767
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,CA,C1,C5,519,514,0.351436,0.250510,1.200810,1.313527,0.080200,0.968013
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,CA,C1,C6,519,512,0.351436,0.391553,1.200810,1.230400,-0.032999,0.986836
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,CA,C5,C6,514,512,0.250510,0.391553,1.313527,1.230400,-0.110827,0.955809
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,HW,C1,C5,518,516,-0.421491,-0.451885,0.672208,0.696158,0.044416,0.982282
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,HW,C1,C6,518,519,-0.421491,-0.433136,0.672208,0.711199,0.016828,0.993287
C1_C5_C6,bottom_recovery_slope_acc_z,participant_zscore_upper_bound,HW,C5,C6,516,519,-0.451885,-0.433136,0.696158,0.711199,-0.026643,0.989371
C3_C4,motion_range_acc_z,raw,all,C3,C4,1529,1540,4.372906,4.726985,1.459883,1.511926,-0.238255,0.905174
C3_C4,motion_range_acc_z,raw,SA,C3,C4,508,519,4.453705,4.659784,1.548466,1.283752,-0.144893,0.942246
C3_C4,motion_range_acc_z,raw,CA,C3,C4,515,502,4.617464,5.051526,1.319823,1.346625,-0.325557,0.870693
C3_C4,motion_range_acc_z,raw,HW,C3,C4,506,519,4.042881,4.480275,1.443475,1.792652,-0.268760,0.893102
C3_C4,motion_range_acc_z,posture_train_zscore,all,C3,C4,1529,1540,-0.371228,-0.135719,0.953576,0.988129,-0.242541,0.903477
C3_C4,motion_range_acc_z,posture_train_zscore,SA,C3,C4,508,519,-0.309802,-0.170244,1.048636,0.869370,-0.144893,0.942246
C3_C4,motion_range_acc_z,posture_train_zscore,CA,C3,C4,515,502,-0.523910,-0.255345,0.816609,0.833192,-0.325557,0.870693
