group,feature,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C3_C4,bottom_stability_acc,CA,C3,C4,515,502,0.794063,0.875171,0.353413,0.387919,-0.218579,0.912973
C3_C4,bottom_stability_acc,HW,C3,C4,506,519,0.397926,0.421927,0.263982,0.245188,-0.094211,0.962429
C3_C4,bottom_stability_gyro,all,C3,C4,1529,1540,0.154543,0.165310,0.104969,0.113283,-0.098599,0.960680
C3_C4,bottom_stability_gyro,SA,C3,C4,508,519,0.212626,0.216375,0.107367,0.127914,-0.031748,0.987335
C3_C4,bottom_stability_gyro,CA,C3,C4,515,502,0.157330,0.168001,0.073437,0.079269,-0.139648,0.944334
C3_C4,bottom_stability_gyro,HW,C3,C4,506,519,0.093392,0.111643,0.095387,0.100718,-0.186062,0.925879
C3_C4,bottom_recovery_slope_acc_z,all,C3,C4,1529,1540,0.094751,0.105304,0.103330,0.107638,-0.100019,0.960115
C3_C4,bottom_recovery_slope_acc_z,SA,C3,C4,508,519,0.117480,0.132219,0.120452,0.117471,-0.123889,0.950607
C3_C4,bottom_recovery_slope_acc_z,CA,C3,C4,515,502,0.110346,0.127215,0.103891,0.113459,-0.155076,0.938196
C3_C4,bottom_recovery_slope_acc_z,HW,C3,C4,506,519,0.056061,0.057196,0.066699,0.068002,-0.016842,0.993281
C3_C4,bottom_transition_delta_acc_z,all,C3,C4,1529,1540,-0.671188,-0.702308,1.342350,1.336629,0.023232,0.990732
C3_C4,bottom_transition_delta_acc_z,SA,C3,C4,508,519,-1.222689,-1.131207,1.467542,1.319822,-0.065549,0.973854
C3_C4,bottom_transition_delta_acc_z,CA,C3,C4,515,502,-0.752683,-0.964814,1.540543,1.695112,0.130972,0.947787
C3_C4,bottom_transition_delta_acc_z,HW,C3,C4,506,519,-0.034564,-0.019502,0.387041,0.251335,-0.046158,0.981587
C3_C4,lateral_proxy_gyro,all,C3,C4,1529,1540,0.435172,0.450622,0.302744,0.285747,-0.052486,0.979063
C3_C4,lateral_proxy_gyro,SA,C3,C4,508,519,0.646387,0.646218,0.287255,0.255668,0.000622,0.999752
C3_C4,lateral_proxy_gyro,CA,C3,C4,515,502,0.447981,0.488370,0.207373,0.213012,-0.192138,0.923466
C3_C4,lateral_proxy_gyro,HW,C3,C4,506,519,0.210085,0.218514,0.233932,0.198786,-0.038833,0.984509
C3_C4,anchor_reliability,all,C3,C4,1529,1540,0.839610,0.850205,0.181028,0.172434,-0.059932,0.976094
C3_C4,anchor_reliability,SA,C3,C4,508,519,0.819273,0.829496,0.155385,0.149011,-0.067154,0.973215
C3_C4,anchor_reliability,CA,C3,C4,515,502,0.802083,0.797424,0.168716,0.160193,0.028318,0.988703
C3_C4,anchor_reliability,HW,C3,C4,506,519,0.898221,0.921965,0.201322,0.181461,-0.123893,0.950605
