class_id,posture_canonical,feature,n,n_nan,mean,std,median,p25,p75
C5,HW,bottom_stability_gyro,516,0,0.156326,0.107256,0.123860,0.074518,0.219019
C5,HW,bottom_recovery_slope_acc_z,516,0,0.054324,0.078189,0.034087,0.000845,0.087260
C5,HW,bottom_transition_delta_acc_z,516,0,-0.011458,0.289348,-0.015778,-0.172833,0.134497
C5,HW,lateral_proxy_gyro,516,0,0.376997,0.266499,0.306619,0.159155,0.528155
C5,HW,anchor_reliability,516,0,0.961240,0.133707,1.000000,1.000000,1.000000
C6,SA,depth_proxy,518,0,7.749925,1.079381,7.688490,7.176929,8.144942
C6,SA,motion_range_acc_z,518,0,5.101778,1.368642,5.023025,4.058375,5.982712
C6,SA,motion_range_gyro_mag,518,0,0.527814,0.245964,0.471972,0.366342,0.615696
C6,SA,bottom_stability_acc,518,0,0.810753,0.342262,0.752304,0.554419,1.002205
C6,SA,bottom_stability_gyro,518,0,0.189153,0.117621,0.157849,0.110770,0.230477
C6,SA,bottom_recovery_slope_acc_z,518,0,0.148726,0.151413,0.143121,0.065037,0.236864
C6,SA,bottom_transition_delta_acc_z,518,0,-1.112766,1.311944,-1.060033,-1.777108,-0.406850
C6,SA,lateral_proxy_gyro,518,0,0.485799,0.210712,0.436810,0.332940,0.590298
C6,SA,anchor_reliability,518,0,0.773949,0.211932,0.829988,0.689405,0.910961
C6,CA,depth_proxy,512,0,7.424288,1.274475,7.348227,6.716785,7.958442
C6,CA,motion_range_acc_z,512,0,5.892234,1.493957,5.847250,4.864550,6.872050
C6,CA,motion_range_gyro_mag,512,0,0.442877,0.164493,0.404782,0.321171,0.538512
C6,CA,bottom_stability_acc,512,0,0.871696,0.328055,0.842778,0.620386,1.066137
C6,CA,bottom_stability_gyro,512,0,0.143890,0.079362,0.123264,0.088548,0.179718
C6,CA,bottom_recovery_slope_acc_z,512,0,0.148376,0.156708,0.154011,0.061964,0.236169
C6,CA,bottom_transition_delta_acc_z,512,0,-0.913357,1.721942,-1.014967,-2.095586,0.451633
C6,CA,lateral_proxy_gyro,512,0,0.367306,0.154398,0.331262,0.257631,0.444226
C6,CA,anchor_reliability,512,0,0.768349,0.209632,0.826273,0.684683,0.909450
C6,HW,depth_proxy,519,0,-0.353050,2.081367,-0.259636,-1.510909,1.068399
C6,HW,motion_range_acc_z,519,0,4.490678,1.447814,4.327200,3.390800,5.287800
C6,HW,motion_range_gyro_mag,519,0,1.015149,0.311674,0.966616,0.773483,1.178324
C6,HW,bottom_stability_acc,519,0,0.618984,0.323137,0.537548,0.386425,0.792789
C6,HW,bottom_stability_gyro,519,0,0.155248,0.109902,0.134661,0.067414,0.207987
C6,HW,bottom_recovery_slope_acc_z,519,0,0.057327,0.083088,0.040149,0.004375,0.104751
C6,HW,bottom_transition_delta_acc_z,519,0,0.021167,0.280846,-0.002089,-0.129861,0.159011
C6,HW,lateral_proxy_gyro,519,0,0.392320,0.283068,0.333238,0.152786,0.562190
C6,HW,anchor_reliability,519,0,0.947013,0.153902,1.000000,1.000000,1.000000
