setting,split,y_true,y_pred,count
posture_train_robust_core_features,test,C2,C1,18
posture_train_robust_core_features,test,C2,C2,180
posture_train_robust_core_features,test,C2,C3,21
posture_train_robust_core_features,test,C2,C4,9
posture_train_robust_core_features,test,C2,C5,0
posture_train_robust_core_features,test,C2,C6,11
posture_train_robust_core_features,test,C3,C1,43
posture_train_robust_core_features,test,C3,C2,118
posture_train_robust_core_features,test,C3,C3,23
posture_train_robust_core_features,test,C3,C4,21
posture_train_robust_core_features,test,C3,C5,7
posture_train_robust_core_features,test,C3,C6,26
posture_train_robust_core_features,test,C4,C1,46
posture_train_robust_core_features,test,C4,C2,98
posture_train_robust_core_features,test,C4,C3,29
posture_train_robust_core_features,test,C4,C4,29
posture_train_robust_core_features,test,C4,C5,12
posture_train_robust_core_features,test,C4,C6,21
posture_train_robust_core_features,test,C5,C1,39
posture_train_robust_core_features,test,C5,C2,57
posture_train_robust_core_features,test,C5,C3,31
posture_train_robust_core_features,test,C5,C4,28
posture_train_robust_core_features,test,C5,C5,58
posture_train_robust_core_features,test,C5,C6,25
posture_train_robust_core_features,test,C6,C1,44
posture_train_robust_core_features,test,C6,C2,97
posture_train_robust_core_features,test,C6,C3,41
posture_train_robust_core_features,test,C6,C4,18
posture_train_robust_core_features,test,C6,C5,18
posture_train_robust_core_features,test,C6,C6,22
