setting,split,scope,scope_value,metric,value
posture_train_robust_core_features,train,overall,all,macro_f1,0.213765
posture_train_robust_core_features,train,overall,all,weighted_f1,0.214101
posture_train_robust_core_features,train,class,C1,precision,0.243764
posture_train_robust_core_features,train,class,C1,recall,0.199814
posture_train_robust_core_features,train,class,C1,f1,0.219612
posture_train_robust_core_features,train,class,C1,support,1076
posture_train_robust_core_features,train,class,C2,precision,0.255814
posture_train_robust_core_features,train,class,C2,recall,0.541822
posture_train_robust_core_features,train,class,C2,f1,0.347541
posture_train_robust_core_features,train,class,C2,support,1076
posture_train_robust_core_features,train,class,C3,precision,0.212803
posture_train_robust_core_features,train,class,C3,recall,0.116920
posture_train_robust_core_features,train,class,C3,f1,0.150920
posture_train_robust_core_features,train,class,C3,support,1052
posture_train_robust_core_features,train,class,C4,precision,0.184211
posture_train_robust_core_features,train,class,C4,recall,0.091760
posture_train_robust_core_features,train,class,C4,f1,0.122500
posture_train_robust_core_features,train,class,C4,support,1068
posture_train_robust_core_features,train,class,C5,precision,0.223684
posture_train_robust_core_features,train,class,C5,recall,0.285981
posture_train_robust_core_features,train,class,C5,f1,0.251025
posture_train_robust_core_features,train,class,C5,support,1070
posture_train_robust_core_features,train,class,C6,precision,0.227684
posture_train_robust_core_features,train,class,C6,recall,0.164486
posture_train_robust_core_features,train,class,C6,f1,0.190993
posture_train_robust_core_features,train,class,C6,support,1070
posture_train_robust_core_features,train,posture,SA,macro_f1,0.230096
posture_train_robust_core_features,train,posture,CA,macro_f1,0.220184
posture_train_robust_core_features,train,posture,HW,macro_f1,0.186728
posture_train_robust_core_features,val,overall,all,accuracy,0.242340
posture_train_robust_core_features,val,overall,all,macro_f1,0.211737
posture_train_robust_core_features,val,overall,all,weighted_f1,0.212069
posture_train_robust_core_features,val,class,C1,precision,0.232068
posture_train_robust_core_features,val,class,C1,recall,0.229167
posture_train_robust_core_features,val,class,C1,f1,0.230608
posture_train_robust_core_features,val,class,C1,support,240
posture_train_robust_core_features,val,class,C2,precision,0.284211
posture_train_robust_core_features,val,class,C2,recall,0.675000
posture_train_robust_core_features,val,class,C2,f1,0.400000
posture_train_robust_core_features,val,class,C2,support,240
